feature,ic_2025-11,n_2025-11,ic_2025-12,n_2025-12,ic_2026-01,n_2026-01,ic_2026-02,n_2026-02,ic_2026-03,n_2026-03,ic_2026-04,n_2026-04,early_avg,late_avg,ic_drop,early_signed,late_signed,sign_flip
return_kurtosis,-0.0963142933017489,720,-0.017122354649019778,744,-0.04308020852485652,744,-0.011873469866795567,672,-0.006640253828982461,744,0.09840376004177824,300,0.05217228549187506,0.05252200693538035,-0.0003497214435052923,-0.05217228549187506,0.04588175310639789,True
oi_price_divergence,-0.024128583066968363,720,0.037967672295105045,744,0.053892532948786355,744,0.0312774332578001,672,0.048021237110338046,744,-0.03485638729319215,300,0.03866292943695326,0.041438812201765096,-0.002775882764811839,0.022577207392307678,0.006582424908572949,False
is_trending_bull,-0.0474503137061089,720,0.14028759531196727,744,-0.023174309249130387,744,0.06672178856058888,672,0.13851916109892026,744,0.013655617528601676,300,0.07030407275573552,0.07608738931376097,-0.005783316558025442,0.023220990785575994,0.07608738931376097,False
tox_accum_zscore,-0.08288342248602588,720,-0.005752440982692765,744,-0.0008448048131700155,744,0.17083071082085502,672,0.04717299398557716,744,0.025668729652551694,300,0.029826889427296225,0.036420861819064426,-0.006593972391768201,-0.029826889427296225,0.036420861819064426,False
abs_completion_z,-0.07028834359023656,720,-0.06776181688374004,744,0.012355358035177413,744,-0.0877954903356672,672,0.021768624191240225,744,-0.09508789224409474,300,0.05013517283638467,0.05842825821766748,-0.00829308538128281,-0.04189826747959974,-0.03665963402642726,False
cg_taker_delta_zscore,0.026721566463927076,720,-0.041076051664419626,744,-0.04060978164681722,744,0.043557805067317164,672,-0.06182270725078725,744,-0.04001733352592807,300,0.03613579992505464,0.05092002038835766,-0.014784220463303022,-0.018321422282436592,-0.05092002038835766,False
funding_taker_align,-0.04455426501059382,720,-0.0005487312193156187,744,-0.04422933305205225,744,-0.04598937040841408,672,-0.028220729114369607,744,0.06840076000844454,300,0.029777443093987232,0.048310744561407076,-0.018533301467419844,-0.029777443093987232,0.020090015447037465,False
cg_liq_ratio,-0.022343275814983816,720,0.03151439685996714,742,0.04195778396006846,738,-0.010526577610792766,672,-2.3590562542049045e-05,703,-0.10507984136559584,300,0.03193848554500647,0.05255171596406894,-0.02061323041906247,0.01704296833501726,-0.05255171596406894,False
cg_oi_close_pctchg_12h,0.030545905116843717,720,0.1810859062150979,744,-0.0003988441445407917,744,-0.06737046598932453,672,0.05271561054652547,744,-0.13252236135957066,300,0.07067688515882747,0.09261898595304806,-0.021942100794220584,0.07041098906246694,-0.0399033754065226,True
cg_pos_ls_ratio_zscore,-0.011895873598701362,720,-0.20532880097753178,744,-0.021770958580731994,744,-0.03757210450446595,672,0.012092996855212,744,0.21734002824605989,300,0.07966521105232172,0.11471651255063595,-0.03505130149831423,-0.07966521105232172,0.11471651255063595,True
squeeze_proxy,0.024770455803657856,720,0.008078517050383212,744,0.013351313566149766,744,-0.008234129400670214,672,-0.0010598158405346052,744,-0.10117712419026878,300,0.015400095473396944,0.05111847001540169,-0.03571837454200475,0.015400095473396944,-0.05111847001540169,False
vol_entropy,0.07654620720730368,720,-0.02171412038858571,744,0.07689816602158475,744,-0.05676290630732594,672,0.10056641966744538,744,0.09071402296323218,300,0.05838616453915805,0.09564022131533878,-0.03725405677618073,0.0439100842801009,0.09564022131533878,False
cg_oi_agg_delta,0.009287569356165168,720,0.02523489077121395,744,-0.013701060185927004,744,0.02996034326947261,672,-0.0027305438913586785,744,0.1236511516794631,300,0.016074506771102042,0.06319084778541088,-0.04711634101430884,0.006940466647150705,0.06046030389405221,False
cg_funding_close_slope_4h,-0.03970755664398126,720,0.004892649100917492,744,0.006352625699281759,744,-0.005835424653781412,672,-0.025796064208371945,744,-0.10343803820042445,300,0.01698427714806017,0.0646170512043982,-0.047632774056338034,-0.009487427281260669,-0.0646170512043982,False
cg_funding_close_mom_1h,-0.04115791779295147,720,0.01913025883638806,744,-0.005260806186396291,744,0.021856078028394774,672,0.01723924631582142,744,-0.1301983644703561,300,0.021849660938578607,0.07371880539308875,-0.051869144454510144,-0.009096155047653234,-0.05647955907726734,False
cg_bfx_margin_delta_zscore,0.056741879003110215,720,0.03816686126150488,744,0.053045018279870994,744,0.017395552344277167,672,-0.05077992853556773,744,-0.15592128801431127,300,0.049317919514828695,0.1033506082749395,-0.0540326887601108,0.049317919514828695,-0.1033506082749395,True
